,RATING
1532,4.0
1533,4.0
1534,3.0
1535,3.8
1536,4.4
1537,4.2
1538,4.0
1539,2.8
1540,3.8
1541,2.8
1542,3.6
1543,4.0
1544,4.0
1545,4.0
1546,4.0
1547,4.0
1548,4.2
1549,3.8
1550,4.4
1551,4.0
1552,3.4
1553,3.8
1554,4.0
1555,4.0
1556,3.4
1557,4.2
1558,3.6
1559,3.0
1560,3.8
1561,4.0
1562,3.8
1563,4.0
1564,4.0
1565,4.6
1566,4.0
1567,2.4
1568,4.0
1569,3.6
1570,4.2
1571,4.0
1572,3.2
1573,3.4
1574,4.2
1575,3.8
1576,4.2
1577,4.0
1578,3.6
1579,3.6
1580,3.8
1581,4.0
1582,4.0
1583,3.8
1584,4.2
1585,3.6
1586,4.2
1587,4.0
1588,4.2
1589,4.0
1590,3.6
1591,4.2
1592,4.0
1593,4.0
1594,3.0
1595,3.8
1596,4.4
1597,4.2
1598,4.0
1599,2.8
1600,3.8
1601,2.8
1602,3.6
1603,4.0
1604,4.0
1605,4.0
1606,4.0
1607,4.0
1608,4.2
1609,3.8
1610,4.4
1611,4.0
1612,3.4
1613,3.8
1614,4.0
1615,4.0
1616,3.4
1617,4.2
1618,3.6
1619,3.0
1620,3.8
1621,4.0
1622,3.8
1623,4.0
1624,4.0
1625,4.6
1626,4.0
1627,2.4
1628,4.0
1629,3.6
1630,4.2
1631,4.0
1632,3.2
1633,3.4
1634,4.2
1635,3.8
1636,4.2
1637,4.0
1638,3.6
1639,3.6
1640,3.8
1641,4.0
1642,4.0
1643,3.8
1644,4.2
1645,3.6
1646,4.2
1647,4.0
1648,4.2
1649,4.0
1650,3.6
1651,4.2
1652,4.0
1653,4.0
1654,3.0
1655,3.8
1656,4.4
1657,4.2
1658,4.0
1659,2.8
1660,3.8
1661,2.8
1662,3.6
1663,4.0
1664,4.0
1665,4.0
1666,4.0
1667,4.0
1668,4.2
1669,3.8
1670,4.4
1671,4.0
1672,3.4
1673,3.8
1674,4.0
1675,4.0
1676,3.4
1677,4.2
1678,3.6
1679,3.0
1680,3.8
1681,4.0
1682,3.8
1683,4.0
1684,4.0
1685,4.6
1686,4.0
1687,2.4
1688,4.0
1689,3.6
1690,4.2
1691,4.0
1692,3.2
1693,3.4
1694,4.2
1695,3.8
1696,4.2
1697,4.0
1698,3.6
1699,3.6
1700,3.8
1701,4.0
1702,4.0
1703,3.8
1704,4.2
1705,3.6
1706,4.2
1707,4.0
1708,4.2
1709,4.0
1710,3.6
1711,4.2
1712,4.0
1713,4.0
1714,3.0
1715,3.8
1716,4.4
1717,4.2
1718,4.0
1719,2.8
1720,3.8
1721,2.8
1722,3.6
1723,4.0
1724,4.0
1725,4.0
1726,4.0
1727,4.0
1728,4.2
1729,3.8
1730,4.4
1731,4.0
1732,3.4
1733,3.8
1734,4.0
1735,4.0
1736,3.4
1737,4.2
1738,3.6
1739,3.0
1740,3.8
1741,4.0
1742,3.8
1743,4.0
1744,4.0
1745,4.6
1746,4.0
1747,2.4
1748,4.0
1749,3.6
1750,4.2
1751,4.0
1752,3.2
1753,3.4
1754,4.2
1755,3.8
1756,4.2
1757,4.0
1758,3.6
1759,3.6
1760,3.8
1761,4.0
1762,4.0
1763,3.8
1764,4.2
1765,3.6
1766,4.2
1767,4.0
1768,4.2
1769,4.0
1770,3.6
1771,4.2
1772,4.0
1773,4.0
1774,3.0
1775,3.8
1776,4.4
1777,4.2
1778,4.0
1779,2.8
1780,3.8
1781,2.8
1782,3.6
1783,4.0
1784,4.0
1785,4.0
1786,4.0
1787,4.0
1788,4.2
1789,3.8
1790,4.4
1791,4.0
1792,3.4
1793,3.8
1794,4.0
1795,4.0
1796,3.4
1797,4.2
1798,3.6
1799,3.0
1800,3.8
1801,4.0
1802,3.8
1803,4.0
1804,4.0
1805,4.6
1806,4.0
1807,2.4
1808,4.0
1809,3.6
1810,4.2
1811,4.0
1812,3.2
1813,3.4
1814,4.2
1815,3.8
1816,4.2
1817,4.0
1818,3.6
1819,3.6
1820,3.8
1821,4.0
1822,4.0
1823,3.8
1824,4.2
1825,3.6
1826,4.2
1827,4.0
1828,4.2
1829,4.0
1830,3.6
1831,4.2
1832,4.0
1833,4.0
1834,3.0
1835,3.8
1836,4.4
1837,4.2
1838,4.0
1839,2.8
1840,3.8
1841,2.8
1842,3.6
1843,4.0
1844,4.0
1845,4.0
1846,4.0
1847,4.0
1848,4.2
1849,3.8
1850,4.4
1851,4.0
1852,3.4
1853,3.8
1854,4.0
1855,4.0
1856,3.4
1857,4.2
1858,3.6
1859,3.0
1860,3.8
1861,4.0
1862,3.8
1863,4.0
1864,4.0
1865,4.6
1866,4.0
1867,2.4
1868,4.0
1869,3.6
1870,4.2
1871,4.0
1872,3.2
1873,3.4
1874,4.2
1875,3.8
1876,4.2
1877,4.0
1878,3.6
1879,3.6
1880,3.8
1881,4.0
1882,4.0
1883,3.8
1884,4.2
1885,3.6
1886,4.2
1887,4.0
1888,4.2
1889,4.0
1890,3.6
1891,4.2
1892,4.0
1893,4.0
1894,3.0
1895,3.8
1896,4.4
1897,4.2
1898,4.0
1899,2.8
1900,3.8
1901,2.8
1902,3.6
1903,4.0
1904,4.0
1905,4.0
1906,4.0
1907,4.0
1908,4.2
1909,3.8
1910,4.4
1911,4.0
1912,3.4
1913,3.8
1914,4.0
1915,4.0
1916,3.4
1917,4.2
1918,3.6
1919,3.0
1920,3.8
1921,4.0
1922,3.8
1923,4.0
1924,4.0
1925,4.6
1926,4.0
1927,2.4
1928,4.0
1929,3.6
1930,4.2
1931,4.0
1932,3.2
1933,3.4
1934,4.2
1935,3.8
1936,4.2
1937,4.0
1938,3.6
1939,3.6
1940,3.8
1941,4.0
1942,4.0
1943,3.8
1944,4.2
1945,3.6
1946,4.2
1947,4.0
1948,4.2
1949,4.0
1950,3.6
1951,4.2
1952,4.0
1953,4.0
1954,3.0
1955,3.8
1956,4.4
1957,4.2
1958,4.0
1959,2.8
1960,3.8
1961,2.8
1962,3.6
1963,4.0
1964,4.0
1965,4.0
1966,4.0
1967,4.0
1968,4.2
1969,3.8
1970,4.4
1971,4.0
1972,3.4
1973,3.8
1974,4.0
1975,4.0
1976,3.4
1977,4.2
1978,3.6
1979,3.0
1980,3.8
1981,4.0
1982,3.8
1983,4.0
1984,4.0
1985,4.6
1986,4.0
1987,2.4
1988,4.0
1989,3.6
1990,4.2
1991,4.0
1992,3.2
1993,3.4
1994,4.2
1995,3.8
1996,4.2
1997,4.0
1998,3.6
1999,3.6
2000,3.8
2001,4.0
2002,4.0
2003,3.8
2004,4.2
2005,3.6
2006,4.2
2007,4.0
2008,4.2
2009,4.0
2010,3.6
2011,4.2
2012,4.0
2013,4.0
2014,3.0
2015,3.8
2016,4.4
2017,4.2
2018,4.0
2019,2.8
2020,3.8
2021,2.8
2022,3.6
2023,4.0
2024,4.0
2025,4.0
2026,4.0
2027,4.0
2028,4.2
2029,3.8
2030,4.4
2031,4.0
2032,3.4
2033,3.8
2034,4.0
2035,4.0
2036,3.4
2037,4.2
2038,3.6
2039,3.0
2040,3.8
2041,4.0
2042,3.8
2043,4.0
2044,4.0
2045,4.6
2046,4.0
2047,2.4
2048,4.0
2049,3.6
2050,4.2
2051,4.0
2052,3.2
2053,3.4
2054,4.2
2055,3.8
2056,4.2
2057,4.0
2058,3.6
2059,3.6
2060,3.8
2061,4.0
2062,4.0
2063,3.8
2064,4.2
2065,3.6
2066,4.2
2067,4.0
2068,4.2
2069,4.0
2070,3.6
2071,4.2
2072,4.0
2073,4.0
2074,3.0
2075,3.8
2076,4.4
2077,4.2
2078,4.0
2079,2.8
2080,3.8
2081,2.8
2082,3.6
2083,4.0
2084,4.0
2085,4.0
2086,4.0
2087,4.0
2088,4.2
2089,3.8
2090,4.4
2091,4.0
2092,3.4
2093,3.8
2094,4.0
2095,4.0
2096,3.4
2097,4.2
2098,3.6
2099,3.0
2100,3.8
2101,4.0
2102,3.8
2103,4.0
2104,4.0
2105,4.6
2106,4.0
2107,2.4
2108,4.0
2109,3.6
2110,4.2
2111,4.0
2112,3.2
2113,3.4
2114,4.2
2115,3.8
2116,4.2
2117,4.0
2118,3.6
2119,3.6
2120,3.8
2121,4.0
2122,4.0
2123,3.8
2124,4.2
2125,3.6
2126,4.2
2127,4.0
2128,4.2
2129,4.0
2130,3.6
2131,4.2
2132,4.0
2133,4.0
2134,3.0
2135,3.8
2136,4.4
2137,4.2
